# refreshed 2026-09-11: audited against current harmonizer (harmonizers/impress.py) and OMOP builders (omop/builders/*.py); added omop_table/omop_field columns. Rows with omop_table "(not yet mapped)" are tracked in .data/mapping_gaps.csv. Re-verify after future harmonizer/builder changes.
class,field,source_columns,omop_table,omop_field,transformation,description,data_type,required
treatment_cycles,treatment_cycles.oral_dose_unit,TR_TRODSU,drug_exposure,dose_unit_source_value (oral cycles),Cast to String,Unit of oral dose (e.g. mg),String,optional
treatment_cycles,treatment_cycles.reason_not_administered_to_spec,TR_TROREA,observation,value_as_string; observation_source_value = 'reason_not_administered_to_spec' (FK-linked to this cycle's drug_exposure row),Cast to String,Reason dose was not administered to specification,String,optional
treatment_cycles,treatment_cycles.reason_tablet_not_taken,TR_TROSPE,observation,value_as_string; observation_source_value = 'reason_tablet_not_taken' (FK-linked to this cycle's drug_exposure row),Cast to String,Reason oral tablet was not taken,String,optional
treatment_cycles,treatment_cycles.received_treatment_this_cycle,TR_TRCYNCD,observation,value_as_concept_id (Yes/No); observation_source_value = 'received_treatment_this_cycle' (FK-linked to this cycle's drug_exposure row),"1=true, 0=false",Whether treatment was received in this cycle,Boolean,optional
treatment_cycles,treatment_cycles.start_date,TR_TRC1_DT,"drug_exposure, episode",drug_exposure_start_date; episode.episode_start_date (Treatment Regimen and Treatment Cycle episodes),Parsed to Date,Start date of treatment cycle,Date,optional
treatment_cycles,treatment_cycles.treatment_number,TR_TRTNO,episode,episode_number (Treatment Regimen episode); groups cycles under their line's regimen as episode_parent_id,Cast to Int64,Treatment number (for multi-drug regimens),Int64,optional
treatment_cycles,treatment_cycles.cycle_number,TR_TRCNO1,episode,episode_number (Treatment Cycle episode),Cast to Int64,Cycle number within treatment,Int64,optional
treatment_cycles,treatment_cycles.was_dose_administered_to_spec,TR_TRO_YNCD,observation,value_as_concept_id (Yes/No); observation_source_value = 'was_dose_administered_to_spec' (FK-linked to this cycle's drug_exposure row),"1=true, 0=false",Whether oral dose was administered to specification,Boolean,optional
treatment_cycles,treatment_cycles.was_tablet_taken_to_prescription_in_previous_cycle,TR_TROTAKECD,observation,value_as_concept_id (Yes/No); observation_source_value = 'was_tablet_taken_to_prescription_in_previous_cycle' (FK-linked to this cycle's drug_exposure row),"1=true, 0=false",Whether tablet was taken as prescribed in previous cycle,Boolean,optional
treatment_cycles,treatment_cycles.was_total_dose_delivered,TR_TRIVDELYN1,observation,value_as_concept_id (Yes/No); observation_source_value = 'was_total_dose_delivered' (FK-linked to this cycle's drug_exposure row),Parsed to Boolean (Yes/No text),Whether total IV dose was delivered,String,optional
tumor_assessments,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
tumor_assessments,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
tumor_assessments,row_index,(generated),(not an OMOP field; internal ordering key),,Sequential index per patient; ordered by date,Row index within patient's tumor assessments,Int64,mandatory
tumor_assessments,tumor_assessments.assessment_type,"RA_RAASSESS1, RA_RAASSESS2, RNRSP_TERNCFB",(not yet mapped),,Derived: 'irecist' if RA_RAASSESS2 present; 'recist' if RA_RAASSESS1 present; 'rano' if RNRSP_TERNCFB present (mutually exclusive assumed),Tumor assessment criteria type (recist / irecist / rano),String,optional
tumor_assessments,tumor_assessments.was_baseline,(derived: true for the one baseline row built from the VI sheet's VITUMA-bearing row per patient),(not yet mapped),,True for the baseline row (VI_VITUMA/VI_VITUMA__2 populated on that visit); false on all follow-up rows,Whether this row is the patient's baseline tumor assessment,Boolean,optional
tumor_assessments,tumor_assessments.date,"RA_EventDate, RNRSP_EventDate, VI_EventDate (baseline row)","measurement, episode","measurement_date, measurement_datetime; episode.episode_start_date (Disease Dynamic Episode runs, via the recist/irecist/rano response)",Coalesced (RA first) for follow-up rows; VI_EventDate for the baseline row,Date of tumor assessment,Date,optional
tumor_assessments,tumor_assessments.event_id,"RA_EventId, RNRSP_EventId",(not yet mapped),,Coalesced (RA first); fixed to 'V00' on the baseline row,Visit/event identifier (e.g. V03),String,optional
tumor_assessments,tumor_assessments.target_lesion_size,(derived: baseline size from RNRSP_TERNTBAS/RA_RARECBAS scaled by target_lesion_change_from_baseline; equals the baseline size itself on the baseline row),measurement,measurement_concept_id (lesion_size); value_as_number (FK-linked to the patient's primary-cancer condition_occurrence row),Baseline size x (1 + change from baseline); null propagates when either input is missing,Absolute target lesion size (mm),Float64,optional
tumor_assessments,tumor_assessments.target_lesion_change_from_baseline,"RA_RABASECH, RNRSP_TERNCFB",(not yet mapped),,"Coalesced; source value is percentage, divided by 100 to fraction; zero preserved as 0; fixed to 0 on the baseline row","Target lesion size change from baseline (fraction, e.g. -0.30 = 30% decrease)",Float64,optional
tumor_assessments,tumor_assessments.target_lesion_change_from_nadir,"RA_RARECCH, RNRSP_TERNCFN",(not yet mapped),,"Coalesced; source value is percentage, divided by 100 to fraction; zero preserved as 0","Target lesion size change from nadir (fraction, e.g. 0.20 = 20% increase)",Float64,optional
tumor_assessments,tumor_assessments.was_new_lesions_registered_after_baseline,"RA_RANLBASECD, RNRSP_RNRSPNLCD",(not yet mapped),,"Coalesced; 1=true, 0=false",Whether new lesions were detected after baseline assessment,Boolean,optional
tumor_assessments,tumor_assessments.recist_response,RA_RATIMRES,"measurement, episode","measurement_concept_id + value_as_concept_id (response_recist mapping, or a Not-Evaluable Meas Value answer); episode.episode_concept_id (Disease Dynamic Episode status; 2nd precedence, after iRECIST)","Direct copy, stripped",RECIST response assessment (e.g. CR / PR / SD / PD),String,optional
tumor_assessments,tumor_assessments.irecist_response,RA_RAiMOD,"measurement, episode","measurement_concept_id + value_as_concept_id (response_irecist mapping, or a Not-Evaluable Meas Value answer); episode.episode_concept_id (Disease Dynamic Episode status; 1st precedence)","Direct copy, stripped",iRECIST response assessment (e.g. iCR / iPR / iSD / iUPD / iCPD),String,optional
tumor_assessments,tumor_assessments.rano_response,RNRSP_RNRSPCL,"measurement, episode","measurement_concept_id + value_as_concept_id (response_rano mapping, or a Not-Evaluable Meas Value answer); episode.episode_concept_id (Disease Dynamic Episode status; 3rd/last precedence)","Direct copy, stripped",RANO response assessment,String,optional
tumor_assessments,tumor_assessments.recist_date_of_progression,RA_RAPROGDT,(not yet mapped),,Parsed to Date,Date of progression per RECIST criteria,Date,optional
tumor_assessments,tumor_assessments.irecist_date_of_progression,RA_RAiUNPDT,(not yet mapped),,Parsed to Date,Date of progression per iRECIST criteria,Date,optional
tumor_assessments,tumor_assessments.baseline_off_target_lesions_number,"RCNT_RCNTNOB, RNTMNT_RNTMNTNOB, RNTMNT_RNTMNTNO",(not yet mapped),,"Coalesced (RCNT first, then RNTMNT variants); baseline V00 rows only; cast to Int64",Number of off-target (non-target) lesions at baseline,Int64,optional
tumor_assessments,tumor_assessments.baseline_off_target_lesion_measurement_date,"RCNT_EventDate, RNTMNT_EventDate",(not yet mapped),,Coalesced (RCNT first); baseline V00 rows only,Date of baseline off-target lesion measurement,Date,optional
